"";"dates";"titles";"links"
"37";"24/02/2023";"Présentation d’un plan d’avenir pour les transports";"/discours/discours-de-la-premiere-ministre-elisabeth-borne-remise-du-rapport-du-conseil-dorientation-des-infrastructures-coi-et-presentation-dun-plan-davenir-pour-les-transports"
"38";"20/02/2023";"Réponse à une motion de censure";"/discours/discours-de-la-premiere-ministre-elisabeth-borne-reponse-a-une-motion-de-censure"
"39";"13/02/2023";"37e dîner du Conseil représentatif des institutions juives";"/discours/discours-de-la-premiere-ministre-elisabeth-borne-37e-diner-du-conseil-representatif-des-institutions-juives-de-france"
"40";"10/02/2023";"Cérémonie de remise du Prix Irène Joliot-Curie";"/discours/discours-de-la-premiere-ministre-elisabeth-borne-ceremonie-de-remise-du-prix-irene-joliot-curie"
"41";"06/02/2023";"Centre international de recherche & innovation de Danone";"/discours/discours-de-la-premiere-ministre-elisabeth-borne-inauguration-du-centre-international-de-recherche-et-innovation-de-danone"
"42";"30/01/2023";"Présentation du plan de lutte contre le racisme";"/discours/discours-de-la-premiere-ministre-presentation-du-plan-de-lutte-contre-le-racisme-lantisemitisme-et-les-discriminations-liees-a-lorigine"
"43";"24/01/2023";"Vœux à la presse";"/discours/discours-de-la-premiere-ministre-elisabeth-borne-voeux-a-la-presse"
"44";"10/01/2023";"Pour nos retraites : justice, équilibre, progrès";"/discours/discours-de-la-premiere-ministre-elisabeth-borne-pour-nos-retraites-justice-equilibre-progres"
"45";"14/12/2022";"Débat sur la politique d’immigration au Sénat";"/discours/discours-de-la-premiere-ministre-elisabeth-borne-debat-sur-la-politique-dimmigration-au-senat"
"46";"09/12/2022";"Convention citoyenne sur la fin de vie";"/discours/discours-de-la-premiere-ministre-elisabeth-borne-convention-citoyenne-sur-la-fin-de-vie"
"47";"06/12/2022";"Débat sur la politique d’immigration";"/discours/discours-de-mme-elisabeth-borne-premiere-ministre-debat-sur-la-politique-dimmigration"
"48";"01/12/2022";"Contrat de plan État-Région Occitanie 2021-2027";"/discours/discours-de-la-premiere-ministre-elisabeth-borne-contrat-de-plan-etat-region-occitanie-2021-2027"
"49";"24/11/2022";"Clôture du 104ème Congrès des maires de France";"/discours/discours-de-la-premiere-ministre-elisabeth-borne-cloture-du-104eme-congres-des-maires-et-presidents-dintercommunalite-de-france"
"50";"17/11/2022";"Débat sur la politique énergétique de la France";"/discours/discours-de-la-premiere-ministre-elisabeth-borne-debat-sur-la-politique-energetique-de-la-france"
"51";"16/11/2022";"Discours de la Première ministre Élisabeth Borne - 50ème anniversaire de l’ouverture du concours de l’École polytechnique aux femmes";"/discours/discours-de-la-premiere-ministre-elisabeth-borne-50eme-anniversaire-de-louverture-du-concours-de-lecole-polytechnique-aux-femmes"
"52";"14/11/2022";"Convention des maires de la région Provence-Alpes-Côte d’Azur";"/discours/convention-des-maires-de-la-region-provence-alpes-cote-dazur"
"53";"02/11/2022";"Discours de la Première ministre Élisabeth Borne -  Engagement de la responsabilité du Gouvernement";"/discours/discours-de-la-premiere-ministre-elisabeth-borne-engagement-de-la-responsabilite-du-gouvernement"
"54";"01/11/2022";"Réponse du Gouvernement à deux motions de censure";"/discours/reponse-du-gouvernement-a-deux-motions-de-censure"
"55";"29/10/2022";"Portugal : discours d'Elisabeth Borne lors de la conférence de presse conjointe avec son homologue Antonio Costa";"/discours/portugal-discours-delisabeth-borne-lors-de-la-conference-de-presse-conjointe-avec-son-homologue-antonio-costa"
"56";"28/10/2022";"Discours de la Première ministre Élisabeth Borne - Convention des partenaires";"/discours/discours-de-la-premiere-ministre-elisabeth-borne-convention-des-partenaires"
"57";"27/10/2022";"Hausse des prix de l’énergie : des mesures pour accompagner les entreprises, les collectivités et les établissements publics";"/discours/hausse-des-prix-de-lenergie-des-mesures-pour-accompagner-les-entreprises-les-collectivites-et-les-etablissements-publics"
"58";"24/10/2022";"Discours de la Première ministre Élisabeth Borne -  Réponse du Gouvernement à une motion de censure";"/discours/discours-de-la-premiere-ministre-elisabeth-borne-reponse-du-gouvernement-a-une-motion-de-censure"
"59";"24/10/2022";"Discours de la Première ministre Élisabeth Borne - Réponse du Gouvernement à deux motions de censure";"/discours/discours-de-la-premiere-ministre-elisabeth-borne-reponse-du-gouvernement-a-deux-motions-de-censure"
"60";"21/10/2022";"Discours de la Première ministre Élisabeth Borne - Lancement de France nation verte";"/discours/discours-de-la-premiere-ministre-elisabeth-borne-lancement-de-france-nation-verte"
"61";"19/10/2022";"Discours de la Première ministre Élisabeth Borne - Engagement de la responsabilité du Gouvernement pour la première partie du projet de loi de finances 2023";"/discours/discours-de-la-premiere-ministre-elisabeth-borne-engagement-de-la-responsabilite-du-gouvernement-pour-la-premiere-partie-du-projet-de-loi-de-finances-2023"
"62";"15/10/2022";"91ème congrès de l’assemblée des départements de France";"/discours/discours-de-la-premiere-ministre-elisabeth-borne-au-91eme-congres-de-lassemblee-des-departements-de-france"
"63";"07/10/2022";"Discours de la Première ministre Élisabeth Borne à la 32ème Convention des intercommunalités de France";"/discours/discours-de-la-premiere-ministre-elisabeth-borne-a-la-32eme-convention-des-intercommunalites-de-france"
"64";"06/10/2022";"Discours de la Première ministre Élisabeth Borne : présentation du plan de sobriété";"/discours/discours-de-la-premiere-ministre-elisabeth-borne-presentation-du-plan-de-sobriete"
"65";"28/09/2022";"Discours de la  Première ministre Élisabeth Borne : présentation de la stratégie hydrogène";"/discours/presentation-de-la-strategie-hydrogene-discours-delisabeth-borne-premiere-ministre"
"66";"22/09/2022";"Conférence de presse sur la situation énergétique";"/discours/discours-de-la-premiere-ministre-elisabeth-borne-a-la-conference-de-presse-sur-la-situation-energetique"
"67";"19/09/2022";"Discours de la Première ministre Élisabeth Borne au  Congrès international d'astronautique";"/discours/discours-delisabeth-borne-premiere-ministre-au-congres-international-dastronautique"
"68";"16/09/2022";"Discours de la Première ministre Élisabeth Borne - 18ème congrès des Régions de France à Vichy";"/discours/discours-de-mme-elisabeth-borne-premiere-ministre-18eme-congres-des-regions-de-france-a-vichy"
"69";"14/09/2022";"Inauguration du séminaire de rentrée des auditeurs de l'IHEDN";"/discours/discours-de-mme-elisabeth-borne-premiere-ministre-inauguration-du-seminaire-de-rentree-des-auditeurs-de-linstitut-des-hautes-etudes-de-defense-nationale-ihedn"
"70";"14/09/2022";"Conférence de presse sur la situation énergétique";"/discours/discours-de-la-premiere-ministre-elisabeth-borne-conference-de-presse-sur-la-situation-energetique"
"71";"13/09/2022";"Réouverture du site Richelieu  Bibliothèque nationale de France";"/discours/discours-de-la-premiere-ministre-elisabeth-borne-reouverture-du-site-richelieu-bibliotheque-nationale-de-france"
"72";"07/09/2022";"Rentrée du Conseil d’État";"/discours/discours-de-la-premiere-ministre-elisabeth-borne-rentree-du-conseil-detat"
"73";"05/09/2022";"Conférence des ambassadrices et ambassadeurs";"/discours/discours-de-mme-elisabeth-borne-premiere-ministre-a-loccasion-de-la-conference-des-ambassadrices-et-ambassadeurs"
"74";"31/08/2022";"Séminaire gouvernemental";"/discours/declaration-de-la-premiere-ministre-elisabeth-borne-seminaire-gouvernemental"
"75";"29/08/2022";"Discours de la Première ministre Élisabeth Borne - Rencontre des entrepreneurs de France";"/discours/discours-de-la-premiere-ministre-elisabeth-borne-rencontre-des-entrepreneurs-de-france"
"76";"18/07/2022";"Discours de la Première ministre Élisabeth Borne - Déclaration de politique générale devant le Sénat";"/discours/discours-de-la-premiere-ministre-elisabeth-borne-declaration-de-politique-generale-devant-le-senat"
"77";"11/07/2022";"Examen de la motion de censure à l'Assemblée nationale";"/discours/declaration-de-mme-elisabeth-borne-examen-de-la-motion-de-censure-a-lassemblee-nationale"
